country name,2006,2007,2008,2009,2010,2011,2012,2013,2014
spain,8.4,8.2,11.,17.,19.,21.,24.,26.,24.
philippines,7.9,7.3,7.4,7.4,7.3,7.0,6.9,7.0,6.8
south_korea,3.4,3.2,3.1,3.6,3.7,3.4,3.2,3.1,3.5
mexico,3.5,3.6,3.8,5.3,5.2,5.1,4.8,4.9,4.7
austria,4.7,4.4,3.8,4.7,4.4,4.1,4.3,4.9,5
poland,13.,9.6,7.1,8.1,9.6,9.6,10.,10.,8.9
portugal,7.6,7.9,7.5,9.4,10.,12.,15.,16.,13.
egypt,10.,9.2,8.6,9.3,9.2,10.,12.,13<,13.
denmark,3.9,3.7,3.4,5.9,7.4,7.5,7.5,7.0,6.5
australia,4.7,4.3,4.2,5.5,5.2,5.0,5.2,5.6,6.0
