country name,0-14,15-24,25-54,54-64,65+
japan,12.84,9.64,37.5,12.15,27.87
india,27.34,17.9,41.08,7.45,6.24
china,17.15,12.78,48.51,10.75,10.81
thailand,16.93,14.17,46.32,12,10.58
vietnam,23.55,16.23,45.56,8.55,6.12
cambodia,31.01,18.36,40.68,5.69,4.25
singapore,12.82,16.56,50.53,10.46,9.63
indonesia,25.02,16.99,42.4,8.58,7.01
canada,15.44,11.85,39.99,14.1,18.63
united_states,18.73,13.27,39.45,12.91,15.63
united_kingdom,17.53,11.9,40.55,11.98,18.04
germany,12.82,10.09,40.45,14.58,22.06
france,18.53,11.79,37.78,12.42,19.48
italy,13.65,9.66,42.16,12.99,21.53
spain,15.38,9.58,44.91,12.14,17.98
philippines,33.39,19.16,36.99,5.97,4.49
south_korea,13.21,12.66,45.52,14.49,14.12
mexico,26.93,17.54,40.81,7.64,7.09
austria,14.01,11.07,42.42,13.23,19.26
poland,14.76,10.7,43.48,14.21,16.86
portugal,15.34,11.36,41.72,12.18,19.4
egypt,33.29,18.94,37.6,5.95,4.22
denmark,16.41,13.08,38.76,12.52,19.23
australia,17.8,12.79,41.45,11.83,16.14
cambodia,31.01,18.36,40.68,5.69,4.25
belgium,17.16,11.34,40.05,12.86,18.58
sudan,38.68,21.04,32.77,4.24,3.27
russia,17.12,9.46,44.71,14.44,14.28
norway,18,12.58,41.01,11.71,16.71
saudi_arabia,26.1,18.57,46.86,5.03,3.44
