country name,agriculture_land,forest,other,total
japan,12.5,68.5,19,100
india,60.5,23.1,16.4,100
china,54.7,22.3,23,100
thailand,41.2,37.2,21.6,100
vietnam,34.8,45,20.2,100
cambodia,32.1,56.5,11.4,100
singapore,1,3.3,95.7,100
indonesia,31.2,51.7,17.1,100
canada,6.8,34.1,59.1,100
united_states,44.5,33.3,22.2,100
united_kingdom,71,11.9,17.1,100
germany,48,31.8,20.2,100
france,52.7,29.2,18.1,100
italy,47.1,31.4,21.5,100
spain,54.1,36.8,9.1,100
philippines,41,25.9,33.1,100
south_korea,18.1,63.9,18,100
mexico,54.9,33.3,11.8,100
austria,38.4,47.2,14.4,100
poland,48.2,30.6,21.2,100
portugal,39.7,37.8,22.5,100
egypt,3.6,0.1,96.3,100
denmark,63.4,12.9,23.7%<br/><strong>note,100
australia,53.4,19.3,27.3,100
cambodia,32.1,56.5,11.4,100
belgium,44.1,22.4,33.5,100
sudan,100,0,0,100
russia,13.1,49.4,37.5,100
norway,2.7,27.8,69.5,100
saudi_arabia,80.7,0.5,18.8,100
